[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/arrow_previous_icon.json: required/arrow_previous_icon
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby.json: default/ruby
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/welcome_disk.json: default/welcome_disk
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/orax_hammer.json: default/orax_hammer
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/emerald_chestplate.json: default/armors/emerald_chestplate
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby_boots.json: default/armors/ruby_boots
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/grape.json: default/grape
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_pickaxe.json: default/obsidian_pickaxe
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/emerald_hammer.json: default/emerald_hammer
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_open.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_open.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_helmet.json: default/armors/obsidian_helmet
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_trapdoor_bottom.json: default/crystalmush/crystalmush_trapdoor_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/diamond_cog.json: default/diamond_cog
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_hinge.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_hinge.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_hinge_open.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower_hinge_open.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/miner_sandwitch.json: default/sandwitch
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab_double.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/ruby_chestplate.json: default/armors/ruby_chestplate
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_hinge_open.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_upper_hinge_open.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found unreadable texture at assets/minecraft/textures/trims/models/armor/chainmail.png
[05:29:09] [Server thread/INFO]: Oraxen | Found unreadable texture at assets/minecraft/textures/trims/models/armor/chainmail_leggings.png
[05:29:09] [Server thread/INFO]: Oraxen | Pack contains malformed texture(s) and/or model(s)
[05:29:09] [Server thread/INFO]: Oraxen | These need to be fixed, otherwise the resourcepack will be broken
[05:29:09] [Server thread/INFO]: Oraxen | Attempting to exclude malformed textures from atlas-file
[05:29:09] [Server thread/INFO]: Oraxen | Excluding malformed texture from atlas-file: assets/minecraft/textures/trims/models/armor/chainmail_leggings.png
[05:29:09] [Server thread/INFO]: Oraxen | Excluding malformed texture from atlas-file: assets/minecraft/textures/trims/models/armor/chainmail.png
[05:29:09] [Server thread/INFO]: Oraxen | Generated Jukebox datapack. A server restart is required for this feature to work.
[05:29:09] [Server thread/INFO]: Oraxen | Successfully loaded on Ubuntu 24.04.2 LTS (noble)
[05:29:09] [Server thread/INFO]: [PlaceholderAPI] Successfully registered internal expansion: oraxen [1.211.0]
[05:29:09] [Server thread/INFO]: Oraxen | Plugin "PlaceholderAPI" detected, enabling hooks
[05:29:09] [Server thread/INFO]: Oraxen | Plugin "MythicMobs" detected, enabling hooks
[05:29:09] [Server thread/INFO]: Oraxen | Skript compatibility enabled - Oraxen syntax registered
[05:29:09] [Server thread/INFO]: Oraxen | Plugin "Skript" detected, enabling hooks
[05:29:09] [Server thread/INFO]: Oraxen | This is a compiled version of Oraxen.
[05:29:09] [Server thread/INFO]: Oraxen | Compiled versions come without Default assets and support is not provided.
[05:29:09] [Server thread/INFO]: Oraxen | Consider purchasing Oraxen on SpigotMC or Polymart for access to the full version.
[05:29:09] [Server thread/INFO]: [CoreProtect] Enabling CoreProtect v23.1
[05:29:09] [Server thread/INFO]: [CoreProtect] CoreProtect Community Edition has been successfully enabled! 
[05:29:09] [Server thread/INFO]: [CoreProtect] Using SQLite for data storage.
[05:29:09] [Server thread/INFO]: --------------------
[05:29:09] [Server thread/INFO]: [CoreProtect] Enjoy CoreProtect? Join our Discord!
[05:29:09] [Server thread/INFO]: [CoreProtect] Discord: www.coreprotect.net/discord/
[05:29:09] [Server thread/INFO]: --------------------
[05:29:09] [Server thread/INFO]: [BlueMap] Enabling BlueMap v5.15
[05:29:09] [Server thread/INFO]: [BlueMap] Saving all worlds once, to make sure the level.dat is present...
[05:29:09] [Server thread/WARN]: A manual (plugin-induced) save has been detected while server is configured to auto-save. This may affect performance.
[05:29:10] [BlueMap-Load/INFO]: [BlueMap] Loading...
[05:29:10] [Server thread/INFO]: [WorldFracture] Enabling WorldFracture v1.7.0
[05:29:10] [Server thread/WARN]: [WorldFracture] Could not save zones.yml to plugins/WorldFracture/zones.yml because zones.yml already exists.
[05:29:10] [Server thread/INFO]: [WorldFracture] WorldFracture enabled. The world is listening.
[05:29:10] [Server thread/INFO]: [MiniMOTD] Enabling MiniMOTD v2.2.2
[05:29:10] [Server thread/INFO]: [SimpleScore] Enabling SimpleScore v4.0.1
[05:29:10] [Server thread/INFO]: [TheNewEconomy] Enabling TheNewEconomy v0.1.4.0
[05:29:10] [BlueMap-Load/INFO]: [BlueMap] Loading resources...
[05:29:11] [Server thread/WARN]: [TheNewEconomy] Unable to contact update server!
[05:29:11] [Server thread/WARN]: [TheNewEconomy] Unable to contact update server!
[05:29:11] [Server thread/INFO]: [PlaceholderAPI] Successfully registered internal expansion: tne [0.1.4.0]
[05:29:11] [Server thread/INFO]: [TheNewEconomy] The New Economy has been enabled!
[05:29:11] [Server thread/INFO]: [spark] Enabling spark v1.10.173
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Resources loaded.
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Initializing Storage: 'file' (Type: 'bluemap:file')
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Loading map 'world'...
[05:29:11] [Server thread/INFO]: [spark] Using Paper ServerTickStartEvent for tick monitoring
[05:29:11] [Server thread/INFO]: [spark] Starting background profiler...
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Loading map 'world_the_end'...
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Loading map 'world_nether'...
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] WebServer bound to all network interfaces on port 8100
[05:29:11] [Thread-21/INFO]: [BlueMap] WebServer started.
[05:29:11] [BlueMap-Load/INFO]: [BlueMap] Loaded!
[05:29:11] [Server thread/INFO]: [PlaceholderAPI] Successfully registered internal expansion: spark [1.10.173]
[05:29:11] [Server thread/INFO]: [spark] Registered PlaceholderAPI placeholders
[05:29:11] [Server thread/INFO]: [PlayerTitles] Enabling PlayerTitles v1.2
[05:29:12] [Server thread/INFO]: [DeluxeMenus] Enabling DeluxeMenus v1.14.1-Release
[05:29:12] [Server thread/INFO]: [DeluxeMenus] Successfully hooked into PlaceholderAPI!
[05:29:12] [Server thread/INFO]: [DeluxeMenus] Successfully hooked into Vault!
[05:29:12] [Server thread/WARN]: [DeluxeMenus] Found 'data' option for item: teststone in menu: basics_menu. This option is deprecated and will be removed soon. Please use 'damage' instead.
